judul_film,rating
A Home of Our Own,3.0625
A Kid in King Arthur's Court,2.157142857142857
A Killer Among Friends,3.25
A Kiss Before Dying,3.477272727272727
A Knight's Tale,3.124242424242424
A League of Ordinary Gentlemen,2.9545454545454546
A League of Their Own,3.4612756264236904
A Letter to Three Wives,3.6875
A Life Less Ordinary,3.1875
A Little Bit of Soul,4.5
A Little Princess,3.6529126213592233
A Little Romance,3.911764705882353
A Lot Like Love,3.353846153846154
A Love Song for Bobby Long,3.629032258064516
A Low Down Dirty Shame,2.6315789473684212
A Man Apart,2.7452830188679247
A Man Called Horse,3.475
A Man Named Pearl,4.5
A Man for All Seasons,4.2534246575342465
A Man of No Importance,3.8
A Map of the World,3.4615384615384617
A Matter of Life and Death,4.166666666666667
A Midnight Clear,3.8875
A Midsummer Night's Dream,3.244140625
A Midsummer Night's Sex Comedy,3.2
A Mighty Heart,3.2
A Mighty Wind,3.723809523809524
A Million to Juan,2.5
A Modern Affair,2.8333333333333335
A Month by the Lake,3.0555555555555554
A Month in the Country,3.6666666666666665
A Night at the Opera,3.9957627118644066
A Night at the Roxbury,2.5530973451327434
A Night in Casablanca,3.6346153846153846
A Night in the Life of Jimmy Reardon,2.5416666666666665
A Night to Remember,4.078125
A Nightmare on Elm Street,3.2517123287671232
A Nightmare on Elm Street 3: Dream Warriors,2.8411764705882354
A Nightmare on Elm Street 4: The Dream Master,2.5686274509803924
A Nightmare on Elm Street Part 2: Freddy's Revenge,2.487012987012987
A Nightmare on Elm Street: The Dream Child,2.2767857142857144
A Passage to India,3.784313725490196
A Patch of Blue,3.96875
A Perfect Candidate,4.0
A Perfect Getaway,2.880813953488372
A Perfect Murder,3.1684491978609626
A Perfect World,3.5492424242424243
A Personal Journey with Martin Scorsese Through American Movies,3.4444444444444446
A Piece of the Action,3.0
A Place in the Sun,4.033333333333333
A Prairie Home Companion,3.465
A Prayer for the Dying,3.4166666666666665
A Price Above Rubies,3.9166666666666665
A Private Function,3.3
A Pyromaniac's Love Story,2.9166666666666665
A Rage in Harlem,2.1666666666666665
A Raisin in the Sun,3.816666666666667
A River Runs Through It,3.792372881355932
A Room with a View,3.8181818181818183
A Rumor of Angels,3.875
A Scanner Darkly,3.685053380782918
A Shot at Glory,3.0
A Shot in the Dark,3.897196261682243
A Show of Force,3.5
A Simple Plan,3.6468253968253967
A Simple Twist of Fate,3.217391304347826
A Simple Wish,2.357142857142857
A Slipping-Down Life,3.5
A Small Circle of Friends,2.5
A Smile Like Yours,2.1666666666666665
A Soldier's Daughter Never Cries,3.4166666666666665
A Soldier's Story,3.6222222222222222
A Sound of Thunder,1.9838709677419355
A Star Is Born,3.933333333333333
A Stranger Among Us,2.375
A Streetcar Named Desire,3.8901734104046244
A Summer Place,3.3125
A Tale of Two Cities,3.8425925925925926
A Taste of Honey,3.9166666666666665
A Thin Line Between Love and Hate,1.75
A Thousand Acres,2.9705882352941178
A Thousand Clowns,4.1
A Time to Kill,3.52037037037037
A Touch of Class,3.6666666666666665
A Troll in Central Park,2.5384615384615383
A Very Brady Sequel,2.340659340659341
A Very Natural Thing,3.0
A View to a Kill,3.096969696969697
A Walk in the Clouds,3.196261682242991
A Walk in the Sun,3.0
A Walk on the Moon,3.2884615384615383
A Walk to Remember,3.1842105263157894
A Woman Under the Influence,3.8863636363636362
A Woman of Paris: A Drama of Fate,4.125
A Zed & Two Noughts,3.3653846153846154
AKA,3.4166666666666665
ATL,3.0
AVP: Alien vs. Predator,2.7181208053691277
AVPR: Aliens vs Predator - Requiem,2.3059701492537314
Abandon,2.4838709677419355
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,3.5
Abbott and Costello Meet the Invisible Man,3.375
"Abbott and Costello Meet the Killer, Boris Karloff",3.375
Abbott and Costello Meet the Mummy,3.0
Aberdeen,3.857142857142857
About Adam,3.328125
About Schmidt,3.4878345498783454
About a Boy,3.6457564575645756
Above the Law,2.7976190476190474
Above the Rim,3.0
Abre los ojos,3.9
Abril Despedaçado,3.576923076923077
Abschied - Brechts letzter Sommer,3.0
Absence of Malice,3.4404761904761907
Absolute Beginners,2.6666666666666665
Absolute Power,3.1638655462184873
Accattone,3.5555555555555554
Accepted,3.3157894736842106
Acción mutante,2.75
Ace Ventura: Pet Detective,2.9137273593898954
Ace Ventura: When Nature Calls,2.5560165975103732
Ace in the Hole,4.045454545454546
Ace of Hearts,2.0
Aces: Iron Eagle III,1.4464285714285714
Across 110th Street,3.5
Across the Pacific,2.25
Across the Sea of Time,3.375
Across the Universe,3.5825242718446604
Act of Violence,3.5
Action Jackson,2.2419354838709675
Action in the North Atlantic,3.2142857142857144
Adam & Steve,5.0
Adam's Rib,3.9025974025974026
Adanggaman,4.5
Adaptation.,3.8001543209876543
Addams Family Values,2.896103896103896
Addicted to Love,3.1973684210526314
Adrenalin: Fear the Rush,1.6428571428571428
Adventures in Babysitting,3.1538461538461537
Adventures of Don Juan,4.125
Advise & Consent,3.736842105263158
Ae Fond Kiss...,3.6184210526315788
Affliction,3.765957446808511
Africa Screams,2.5
Africa: The Serengeti,3.7777777777777777
"After Dark, My Sweet",3.4722222222222223
After Hours,3.8548387096774195
After School Special,2.625
After the Sunset,3.205263157894737
After the Thin Man,3.9125
Afterglow,3.3333333333333335
Against All Odds,2.8275862068965516
Against the Ropes,2.4705882352941178
Agent Cody Banks,2.5384615384615383
Agent Cody Banks 2: Destination London,2.3448275862068964
Agnes Browne,3.1818181818181817
Agnes of God,3.3363636363636364
"Aguirre, der Zorn Gottes",3.9193548387096775
Ai no borei,3.625
Ai no korîda,3.369565217391304
Ai qing wan sui,3.25
Aileen: Life and Death of a Serial Killer,3.5681818181818183
Aimée & Jaguar,3.861111111111111
Air America,2.914772727272727
Air Bud,1.6666666666666667
Air Bud: Golden Receiver,1.3958333333333333
Air Force One,3.046744574290484
Airborne,3.0
Airheads,2.756666666666667
Airplane II: The Sequel,3.039325842696629
Airplane!,3.7465469613259668
Airport,3.061224489795918
Airport '77,2.125
Airport 1975,2.316666666666667
Akahige,3.8875
Akai hashi no shita no nurui mizu,3.642857142857143
Akarui mirai,3.6
Akasia,3.0
Akeelah and the Bee,3.7526315789473683
Akira,3.73109243697479
Al di là delle nuvole,2.5
Aladdin,3.5245633187772927
Aladdin and the King of Thieves,2.865979381443299
Alaska: Spirit of the Wild,3.375
Albino Alligator,2.7403846153846154
Aleksandr Nevskiy,3.652173913043478
Aleksandra,4.5
Alex & Emma,2.783333333333333
Alexander,2.564207650273224
Alexander's Ragtime Band,3.7
Alexis Zorbas,3.8285714285714287
Alfie,3.1832298136645965
Ali,3.1692913385826773
Alice Adams,3.7857142857142856
Alice Doesn't Live Here Anymore,3.6578947368421053
Alice et Martin,4.0
Alice in Wonderland,3.634980988593156
Alice's Restaurant,3.264705882352941
Alien,3.9579395085066165
Alien Escape,1.9
Alien Nation,3.1530612244897958
Alien from L.A.,1.9
Alien: Resurrection,3.3333333333333335
Aliens,3.8874862788144897
Aliens of the Deep,3.1904761904761907
Alien³,2.9893129770992366
Alila,4.0
Alive,3.517123287671233
All About Eve,4.265625
All About the Benjamins,2.263157894736842
All Dogs Go to Heaven,2.8142857142857145
All Dogs Go to Heaven 2,1.951219512195122
All I Want for Christmas,2.5714285714285716
All Night Long,2.75
All Over the Guy,3.769230769230769
All Quiet on the Western Front,3.8258196721311477
All That Heaven Allows,3.840909090909091
All That Jazz,3.897590361445783
All That Money Can Buy,3.6923076923076925
All in a Night's Work,4.0
All or Nothing,3.717391304347826
All the Boys Love Mandy Lane,3.5
All the King's Men,3.601449275362319
All the Little Animals,4.0
All the President's Men,4.040404040404041
All the Pretty Horses,2.7209302325581395
All the Queen's Men,2.3333333333333335
All the Rage,3.0
All the Real Girls,3.5217391304347827
All the Right Moves,3.014705882352941
All the Vermeers in New York,2.5
Allan Quatermain and the Lost City of Gold,2.313953488372093
Allegro non troppo,3.8181818181818183
Almost Famous,3.769526248399488
Almost Heroes,2.661290322580645
Almost an Angel,2.3
Alone in the Dark,1.3790322580645162
Along Came Jones,5.0
Along Came Polly,2.909274193548387
Alpha Dog,3.230769230769231
"Alphaville, une étrange aventure de Lemmy Caution",3.608695652173913
Altered States,3.4375
Alvin and the Chipmunks,2.772727272727273
Amadeus,4.018960674157303
Amandla! A Revolution in Four Part Harmony,3.375
Amarcord,3.8125
Amator,3.607142857142857
Amazing Grace,3.9150943396226414
Amazing Grace and Chuck,3.0416666666666665
Amazon Women on the Moon,3.1125
Amen.,3.9285714285714284
America's Heart and Soul,2.8333333333333335
America's Sweethearts,2.877232142857143
American Adobo,2.5
American Beauty,4.107676630434782
American Buffalo,3.3055555555555554
American Dreams,2.762295081967213
American Flyers,3.16
American Gangster,3.7945859872611467
American Gigolo,3.0
American Graffiti,3.790372670807453
American Gun,2.5
American Heart,3.4375
American History X,4.103182751540041
American Me,3.4411764705882355
American Movie,3.6193181818181817
American Nightmare,3.142857142857143
American Ninja,2.65
American Ninja 2: The Confrontation,2.0714285714285716
American Ninja 3: Blood Hunt,2.5384615384615383
American Outlaws,2.980769230769231
American Pie,2.940940940940941
American Pie Presents Band Camp,2.1132075471698113
American Pie Presents The Naked Mile,2.207317073170732
American Pimp,3.5652173913043477
American Pop,2.95
American Psycho,3.470944309927361
American Psycho II: All American Girl,2.6481481481481484
American Splendor,3.7855987055016183
American Strays,2.0
American Teen,3.0
American Wedding,2.826923076923077
Americathon,2.0833333333333335
Amistad,3.5899122807017543
Amityville 1992: It's About Time,1.6
Amityville 3-D,1.588235294117647
Amityville II: The Possession,1.7857142857142858
Amityville: A New Generation,1.75
Amityville: Dollhouse,2.3
Among Giants,3.0
Amores Possíveis,3.8333333333333335
Amores perros,4.037249283667622
Amos & Andrew,2.838709677419355
Amy,3.75
Amy's Orgasm,2.7142857142857144
An Affair to Remember,3.763157894736842
An Alan Smithee Film: Burn Hollywood Burn,1.0
An American Carol,3.5
An American Crime,3.0
An American Haunting,2.4571428571428573
An American Rhapsody,3.65625
An American Tail,3.348993288590604
An American Tail: Fievel Goes West,2.9536082474226806
An American Werewolf in London,3.6324786324786325
An American Werewolf in Paris,2.5721153846153846
An American in Paris,3.6473684210526316
An Angel at My Table,3.55
An Awfully Big Adventure,3.0416666666666665
An Everlasting Piece,3.7
An Ideal Husband,3.669642857142857
An Inconvenient Truth,3.7678018575851393
An Innocent Man,2.8333333333333335
An Officer and a Gentleman,3.4019607843137254
An Unfinished Life,3.564814814814815
An Unreasonable Man,3.6666666666666665
Anaconda,2.0476190476190474
Anacondas: The Hunt for the Blood Orchid,1.9509803921568627
Analyze That,2.7058823529411766
Analyze This,3.2282608695652173
Anamorph,2.125
Anastasia,3.257716049382716
Anatomie de l'enfer,2.3
Anatomy of a Murder,4.132183908045977
Anchors Aweigh,3.736842105263158
And Now for Something Completely Different,3.9367816091954024
And Now... Ladies and Gentlemen...,3.5
And Then There Were None,3.9375
And When Did You Last See Your Father?,3.2916666666666665
And the Band Played On,3.9326923076923075
Andre,2.25
Andrey Rublyov,4.052631578947368
Android Apocalypse,4.0
Angel Baby,2.9166666666666665
Angel Eyes,2.6228070175438596
Angel Heart,3.7348993288590604
Angel and the Badman,3.6666666666666665
Angel on My Shoulder,3.3125
Angel-A,3.525
Angela's Ashes,3.576923076923077
Angels and Insects,3.4310344827586206
Angels in America,3.9482758620689653
Angels in the Outfield,2.6083333333333334
Angels with Dirty Faces,3.922222222222222
Anger Management,2.9229607250755287
Angie,2.625
Angst essen Seele auf,3.8472222222222223
"Angus, Thongs and Perfect Snogging",3.0625
Angustia,3.5
Animal Crackers,4.170886075949367
Animal Factory,3.1538461538461537
Animal House,3.497667910447761
Animals Are Beautiful People,3.25
Anna Christie,3.8
Anna Karenina,3.25
Anna and the King,3.388111888111888
Annapolis,2.8043478260869565
Anne Frank Remembered,3.4444444444444446
Anne of the Thousand Days,3.9375
Annie,3.0778688524590163
Annie Hall,4.064073226544623
Another 48 Hrs.,2.647727272727273
Another Cinderella Story,2.872093023255814
Another Country,3.5
Another Day in Paradise,2.6578947368421053
Another Stakeout,2.5163934426229506
Another Thin Man,3.7586206896551726
Another Woman,3.7
Another You,2.357142857142857
Ansikte mot ansikte,3.6666666666666665
Ansiktet,3.607142857142857
Anthony Adverse,3.5
Antitrust,3.0569105691056913
Antonia,3.9
Antwone Fisher,3.6769911504424777
Antz,3.325626204238921
Any Given Sunday,3.116279069767442
Any Which Way You Can,2.725806451612903
Anything But Love,3.5
Anything Else,2.943396226415094
Anywhere But Here,2.977777777777778
Aoi haru,3.3
Apache,2.6666666666666665
Aparajito,3.975
Apartment Zero,3.75
Apocalypse Now,4.007990867579909
Apocalypto,3.649789029535865
Apollo 13,3.6651119402985075
Appaloosa,3.7
Appointment with Death,2.9166666666666665
Appurushîdo,3.586021505376344
April Fool's Day,2.775
April's Shower,2.875
Après la vie,4.0
Après vous...,3.5555555555555554
Apt Pupil,3.14
Apur Sansar,4.185185185185185
Aqua Teen Hunger Force Colon Movie Film for Theaters,3.1714285714285713
Aquamarine,2.6944444444444446
Arabesque,3.5
Arabian Nights,3.5
Arachnophobia,2.772635814889336
Ararat,3.4
Archangel,2.5
Arctic Tale,3.0833333333333335
Are We Done Yet?,1.5416666666666667
Are We There Yet?,2.0833333333333335
Arena,1.0
Arguing the World,4.5
Arizona Dream,3.6454545454545455
Arlington Road,3.4814126394052045
Armageddon,2.7916666666666665
Armed and Dangerous,2.35
Army of Darkness,3.635955056179775
Arn - Tempelriddaren,3.0
Around the Bend,3.0833333333333335
Around the World in 80 Days,3.302287581699346
Arrowhead,4.0
Arrowsmith,4.0
Arsenic and Old Lace,3.9018691588785046
Art School Confidential,2.990566037735849
Artemisia,3.4
Arthur 2: On the Rocks,2.275
Arthur et les Minimoys,2.9210526315789473
Arthur! And the Square Knights of the Round Table,3.3333333333333335
Article 99,3.4285714285714284
Artificial Intelligence: AI,3.2098591549295774
Arven,3.4285714285714284
As Good as It Gets,3.732638888888889
Ascenseur pour l'échafaud,3.838235294117647
Asfour Stah,4.0
Ash Wednesday,2.4285714285714284
Ask the Dust,3.03125
Asoka,3.4375
Aspen Extreme,2.2857142857142856
Assassination Tango,3.1818181818181817
Assault on Precinct 13,3.3002717391304346
Astérix & Obélix: Mission Cléopâtre,3.0555555555555554
Asylum,2.772727272727273
At Close Range,3.4545454545454546
At First Sight,2.869565217391304
At Play in the Fields of the Lord,3.3461538461538463
At War with the Army,2.8333333333333335
At the Circus,3.3666666666666667
At the Earth's Core,2.9166666666666665
Atanarjuat,3.8389830508474576
Atlantic City,3.671875
"Atlantis, the Lost Continent",3.375
Atlantis: The Lost Empire,3.187074829931973
Atonement,3.6243781094527363
Attack Force Z,3.0
Attack of the Crab Monsters,1.75
Attack of the Giant Leeches,1.5
Attack of the Killer Tomatoes!,2.38125
Attack of the Puppet People,2.5
Attila,3.75
Au hasard Balthazar,3.3392857142857144
Au revoir les enfants,3.776595744680851
Auch Zwerge haben klein angefangen,3.090909090909091
Audrey Rose,2.6153846153846154
Auf der anderen Seite,4.15
August Evening,5.0
August Rush,3.3877551020408165
Auntie Mame,3.8448275862068964
Austin Powers in Goldmember,2.947026022304833
Austin Powers: International Man of Mystery,3.3390446521287642
Austin Powers: The Spy Who Shagged Me,3.108800773694391
Australia,3.176470588235294
Author! Author!,3.1052631578947367
Autism: The Musical,3.0
Auto Focus,3.4123376623376624
Autumn in New York,2.407142857142857
Avalanche Alley,2.5
Avanti!,3.607142857142857
Awake,2.8552631578947367
Awakenings,3.8003300330033003
Away from Her,3.902173913043478
Ayn Rand: A Sense of Life,3.9166666666666665
Azuloscurocasinegro,4.0
Azumi,3.3636363636363638
Azúcar amarga,3.1666666666666665
B*A*P*S,1.0666666666666667
B. Monkey,2.875
BASEketball,3.05859375
BUtterfield 8,2.611111111111111
Ba wang bie ji,3.986666666666667
Babe,3.2638352638352637
Babe: Pig in the City,2.8157894736842106
Babel,3.744871794871795
Babes in Toyland,3.1306818181818183
Babettes gæstebud,4.094736842105263
Baby Boom,3.0833333333333335
Baby Boy,2.7857142857142856
Baby Doll,3.409090909090909
Baby Geniuses,1.411764705882353
Baby Mama,3.169642857142857
Baby the Rain Must Fall,3.5
Baby's Day Out,2.2857142857142856
Baby: Secret of the Lost Legend,2.2857142857142856
Babylon 5: A Call to Arms,3.75
Babylon 5: In the Beginning,3.7142857142857144
Babylon 5: The Gathering,3.5
Babylon 5: The Legend of the Rangers: To Live and Die in Starlight,3.75
Babylon 5: The Lost Tales,3.5
Babylon 5: The River of Souls,3.4523809523809526
Babylon 5: Thirdspace,3.197674418604651
Babylon A.D.,2.9423076923076925
Babí léto,4.5
Bacheha-Ye aseman,4.121621621621622
Bachelor Mother,3.7857142857142856
Bachelor Party,3.0372340425531914
Back to Bataan,3.2142857142857144
Back to School,2.9952380952380953
Back to the Beach,2.625
Back to the Future,3.8558526011560694
Back to the Future Part II,3.426470588235294
Back to the Future Part III,3.2256787330316743
Backbeat,3.5
Backdraft,3.219858156028369
Bad Boy Bubby,3.3181818181818183
Bad Boys,3.112309644670051
Bad Boys II,2.98019801980198
Bad Company,2.901898734177215
Bad Day at Black Rock,3.814814814814815
Bad Dreams,2.8333333333333335
Bad Eggs,3.25
Bad Girls,2.5961538461538463
Bad Influence,3.375
Bad Lieutenant,3.0597014925373136
Bad Moon,1.65
Bad News Bears,3.3267326732673266
Bad Santa,3.412420382165605
Bad Taste,3.3461538461538463
Bad Timing,3.1818181818181817
Bad ma ra khahad bord,4.0
Badkonake sefid,3.8333333333333335
Badlands,4.066371681415929
Baghead,4.5
Bai fa mo nu zhuan,3.125
Baise-moi,2.5344827586206895
Baisers volés,3.861111111111111
Bait,2.8333333333333335
Bakushû,4.125
Ball of Fire,3.9166666666666665
Ballada o soldate,4.291666666666667
Ballistic: Ecks vs. Sever,2.0681818181818183
Balls of Fury,2.886986301369863
Balto,2.742424242424242
Bambi,3.482484076433121
Bamboozled,3.223684210526316
Banana Joe,2.9285714285714284
Bananas,3.6327433628318584
Band of Brothers,2.6666666666666665
Band of the Hand,1.75
Bande à part,3.953125
Bandidas,2.7714285714285714
Bandit Queen,3.911764705882353
Bandits,3.385593220338983
Bandolero!,3.25
Bang Bang You're Dead,3.8507462686567164
Bang the Drum Slowly,3.782608695652174
Bangkok Dangerous,2.8839285714285716
Bangrajan,3.0714285714285716
Banlieue 13,3.627906976744186
Banshun,3.8636363636363638
Bar Girls,2.0
Barabba,3.45
Baran,3.5625
Barb Wire,1.7916666666666667
Barbarella,2.8660714285714284
Barbarians at the Gate,3.25
Barbarosa,2.6
Barbary Coast,4.0
Barbershop 2: Back in Business,3.09009009009009
Barefoot in the Park,3.5
Barenaked in America,3.3333333333333335
Barfly,3.707317073170732
Barney's Great Adventure,0.8846153846153846
Barnyard,2.71875
Barry Lyndon,3.8333333333333335
Barton Fink,3.7547892720306515
Basic,3.244565217391304
Basic Instinct,3.225053078556263
Basic Instinct 2,2.596774193548387
Basket Case,2.7333333333333334
Basket Case 2,2.5
Basket Case 3: The Progeny,1.5
Basquiat,3.32
Bastard Out of Carolina,3.3846153846153846
Bat*21,3.7222222222222223
Batman,3.4485088536812674
Batman & Robin,2.1825053995680346
Batman Begins,3.9131556319862426
Batman Forever,2.675974025974026
Batman Returns,3.168141592920354
Batman: Mask of the Phantasm,3.4709302325581395
Batoru rowaiaru,3.7402826855123674
Battle Beyond the Stars,2.9615384615384617
Battle Cry,2.5
Battle Hymn,4.0
Battle for Haditha,2.0
Battle for the Planet of the Apes,2.8333333333333335
Battle of Britain,3.6333333333333333
Battle of the Bulge,3.261904761904762
Battlefield Earth: A Saga of the Year 3000,1.547872340425532
Battleground,3.5555555555555554
Battlestar Galactica,4.06140350877193
Battlestar Galactica: Razor,3.869565217391304
Battling Butler,4.0
Be Cool,2.768292682926829
Be Kind Rewind,3.287313432835821
Beach Blanket Bingo,2.772727272727273
Bean,2.660220994475138
Beat Street,3.7857142857142856
Beat the Devil,3.7333333333333334
Beau Geste,3.7
Beau travail,3.05
Beau-père,3.5
Beaufort,4.0
Beautiful Boxer,3.5
Beautiful Creatures,2.9444444444444446
Beautiful Girls,3.6021505376344085
Beautiful People,3.8846153846153846
Beautiful Thing,3.872093023255814
Beauty Shop,2.7666666666666666
Beauty and the Beast,3.427030456852792
Beavis and Butt-Head Do America,2.9456869009584663
Because I Said So,2.5686274509803924
Because of Winn-Dixie,2.8333333333333335
Becket,4.242857142857143
Becoming Jane,3.1627906976744184
Bed of Roses,2.9555555555555557
Bedazzled,2.9680232558139537
Bedknobs and Broomsticks,3.341463414634146
Bedlam,3.0714285714285716
Bedrooms and Hallways,3.772727272727273
Bedtime Stories,3.5
Bee Movie,3.0925925925925926
Bee Season,2.9285714285714284
Beefcake,3.375
Beerfest,2.923611111111111
Beethoven,2.409090909090909
Beethoven's 2nd,1.85
Beetle Juice,3.4454225352112675
Before Night Falls,3.6666666666666665
Before Sunrise,3.9539748953974896
Before Sunset,3.943798449612403
Before and After,2.9565217391304346
Before the Devil Knows You're Dead,3.610169491525424
Before the Rain,3.96875
Beginning of the End,2.3333333333333335
Behind Enemy Lines,3.1464088397790055
Behind the Mask: The Rise of Leslie Vernon,4.333333333333333
Behold a Pale Horse,3.1666666666666665
Being Human,2.5833333333333335
Being John Malkovich,3.8887832699619773
Being Julia,3.573529411764706
Being There,4.012626262626263
Believers,3.601010101010101
Belizaire the Cajun,2.6666666666666665
Bell Book and Candle,3.585714285714286
Bella,3.5
Bella Martha,3.9245283018867925
Belle de jour,3.792134831460674
Belle epoque,3.7111111111111112
Belles on Their Toes,3.375
Bellissima,4.25
Bells Are Ringing,4.25
Belly,2.3846153846153846
Beloved,3.2857142857142856
Ben X,3.0
Ben-Hur,3.808868501529052
Bend It Like Beckham,3.6141732283464565
Bend of the River,3.5
Beneath the Planet of the Apes,2.9130434782608696
Benji the Hunted,2.7596153846153846
Benji: Off the Leash!,2.6666666666666665
Benny & Joon,3.5714285714285716
Benny's Video,3.75
Bent,3.6875
Beowulf,3.2720588235294117
Beowulf & Grendel,3.1470588235294117
Berkeley in the Sixties,3.875
Berlin: Die Sinfonie der Grosstadt,3.0833333333333335
Besieged,3.2058823529411766
Best Defense,1.8157894736842106
Best Laid Plans,3.323529411764706
Best Seller,3.45
Best in Show,3.76905311778291
Best of the Best,3.111111111111111
Best of the Best 2,2.3125
Best of the Best 3: No Turning Back,1.875
Betsy's Wedding,2.9444444444444446
Better Living Through Circuitry,3.875
Better Luck Tomorrow,3.588235294117647
Better Off Dead...,3.811111111111111
Better Than Chocolate,3.3857142857142857
Better Than Sex,3.0416666666666665
