judul_film,rating,title,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,Rating
2 Days in Paris,3.2454545454545456,2 Days in Paris,Comedy,,,,,,,,2
2 Days in Paris,3.2454545454545456,2 Days in Paris,Comedy,Drama,Romance,,,,,,2
2 Days in the Valley,3.3,2 Days in the Valley,Crime,Film-Noir,,,,,,,2
2 Fast 2 Furious,2.335680751173709,2 Fast 2 Furious,Action,Adventure,Crime,Thriller,,,,,2
2 ou 3 choses que je sais d'elle,3.25,2 ou 3 choses que je sais d'elle,Drama,,,,,,,,2
20 Dates,3.020833333333333,20 Dates,Comedy,Romance,,,,,,,2
20 Million Miles to Earth,3.6649659863945576,20 Million Miles to Earth,Sci-Fi,,,,,,,,2
20 Million Miles to Earth,3.6649659863945576,20 Million Miles to Earth,Children,Comedy,Crime,Drama,Fantasy,,,,2
200 Cigarettes,2.794642857142857,200 Cigarettes,Comedy,Drama,,,,,,,2
20000 Leagues Under the Sea,3.686046511627907,20000 Leagues Under the Sea,Adventure,Children,Fantasy,Sci-Fi,,,,,2
2001 Maniacs,1.75,2001 Maniacs,Comedy,Horror,,,,,,,2
2001: A Space Odyssey,3.851727982162765,2001: A Space Odyssey,Adventure,Sci-Fi,,,,,,,2
2010,3.269230769230769,2010,Sci-Fi,,,,,,,,2
2046,3.742063492063492,2046,Drama,Romance,Sci-Fi,,,,,,2
21,3.266304347826087,21,Documentary,,,,,,,,2
21,3.266304347826087,21,Drama,,,,,,,,2
21 Grams,3.7320675105485233,21 Grams,Drama,Mystery,Romance,,,,,,2
24 7: Twenty Four Seven,3.25,24 7: Twenty Four Seven,Comedy,Drama,,,,,,,2
24 Hour Party People,3.618827160493827,24 Hour Party People,Comedy,,,,,,,,2
24 Hour Party People,3.618827160493827,24 Hour Party People,Comedy,Drama,Musical,,,,,,2
25th Hour,3.794788273615635,25th Hour,Crime,Drama,,,,,,,2
27 Dresses,3.067073170731707,27 Dresses,Comedy,Romance,,,,,,,2
28 Days Later...,3.6131436314363135,28 Days Later...,Drama,,,,,,,,2
28 Days Later...,3.6131436314363135,28 Days Later...,Horror,Sci-Fi,,,,,,,2
28 Up,4.068181818181818,28 Up,Documentary,,,,,,,,2
28 Weeks Later,3.3925619834710745,28 Weeks Later,Drama,Horror,Sci-Fi,Thriller,War,,,,2
29th Street,3.625,29th Street,Comedy,,,,,,,,2
3 Men and a Baby,2.8252032520325203,3 Men and a Baby,Comedy,,,,,,,,2
3 Men and a Little Lady,2.3363636363636364,3 Men and a Little Lady,Comedy,Romance,,,,,,,2
3 Ninjas,2.110294117647059,3 Ninjas,Action,Children,,,,,,,2
3 Ninjas Kick Back,1.71875,3 Ninjas Kick Back,Action,Children,,,,,,,2
3 Ninjas Knuckle Up,1.0714285714285714,3 Ninjas Knuckle Up,Action,Children,,,,,,,2
3 Ninjas: High Noon at Mega Mountain,1.148148148148148,3 Ninjas: High Noon at Mega Mountain,Action,Children,Comedy,,,,,,2
3 Strikes,2.3,3 Strikes,Comedy,,,,,,,,2
3 Women,3.890625,3 Women,Drama,,,,,,,,2
3-4 x jûgatsu,2.676470588235294,3-4 x jûgatsu,Action,Drama,,,,,,,2
30 Days of Night,3.068877551020408,30 Days of Night,Action,Comedy,Drama,Thriller,,,,,2
30 Days of Night,3.068877551020408,30 Days of Night,Horror,Thriller,,,,,,,2
300,3.618589743589744,300,Action,Fantasy,War,,,,,,2
3000 Miles to Graceland,2.7606837606837606,3000 Miles to Graceland,Action,Thriller,,,,,,,2
"301, 302",1.5,"301, 302",Horror,Mystery,Thriller,,,,,,2
36 Hours,3.0,36 Hours,Thriller,War,,,,,,,2
36 Quai des Orfèvres,2.5,36 Quai des Orfèvres,Action,Crime,,,,,,,2
36 fillette,3.0,36 fillette,Drama,Romance,,,,,,,2
37°2 le matin,3.735294117647059,37°2 le matin,Drama,Romance,,,,,,,2
3:10 to Yuma,3.799373040752351,3:10 to Yuma,Action,Adventure,Drama,Thriller,Western,,,,2
3:10 to Yuma,3.799373040752351,3:10 to Yuma,Action,Crime,Drama,Western,,,,,2
4 Little Girls,3.87037037037037,4 Little Girls,Documentary,,,,,,,,2
4 for Texas,3.1666666666666665,4 for Texas,Comedy,Western,,,,,,,2
"4 luni, 3 saptamâni si 2 zile",3.762295081967213,"4 luni, 3 saptamâni si 2 zile",Drama,,,,,,,,2
40 Days and 40 Nights,2.738372093023256,40 Days and 40 Nights,Comedy,Romance,,,,,,,2
42: Forty Two Up,4.058139534883721,42: Forty Two Up,Documentary,,,,,,,,2
42nd Street,3.7,42nd Street,Drama,Musical,Romance,,,,,,2
48 Hrs.,3.363879003558719,48 Hrs.,Comedy,,,,,,,,2
48 Hrs.,3.363879003558719,48 Hrs.,Action,Comedy,Crime,Drama,,,,,2
49 Up,3.8846153846153846,49 Up,Documentary,,,,,,,,2
49th Parallel,3.375,49th Parallel,Adventure,Drama,Thriller,War,,,,,2
4: Rise of the Silver Surfer,2.88728323699422,4: Rise of the Silver Surfer,Action,Horror,Thriller,,,,,,2
4: Rise of the Silver Surfer,2.88728323699422,4: Rise of the Silver Surfer,Action,Adventure,Fantasy,Sci-Fi,,,,,2
5 Card Stud,3.4,5 Card Stud,Mystery,Western,,,,,,,2
50 First Dates,3.4228855721393034,50 First Dates,Comedy,Romance,,,,,,,2
52 Pick-Up,3.0357142857142856,52 Pick-Up,Action,Mystery,Thriller,,,,,,2
54,2.848958333333333,54,Drama,,,,,,,,2
5x2,3.3684210526315788,5x2,Drama,Romance,,,,,,,2
633 Squadron,3.5,633 Squadron,Drama,War,,,,,,,2
7 Faces of Dr. Lao,3.5,7 Faces of Dr. Lao,Fantasy,Mystery,Western,,,,,,2
8 Heads in a Duffel Bag,2.6272727272727274,8 Heads in a Duffel Bag,Comedy,,,,,,,,2
8 Mile,3.2516025641025643,8 Mile,Drama,,,,,,,,2
8 Seconds,3.333333333333333,8 Seconds,Drama,,,,,,,,2
8 femmes,3.538961038961039,8 femmes,Comedy,Crime,Musical,Mystery,,,,,2
8 ½ Women,3.1,8 ½ Women,Comedy,,,,,,,,2
800 balas,2.909090909090909,800 balas,Comedy,Western,,,,,,,2
84 Charing Cross Road,3.765957446808511,84 Charing Cross Road,Drama,Romance,,,,,,,2
88 Minutes,2.925,88 Minutes,Crime,Drama,Thriller,,,,,,2
8MM,3.0040983606557377,8MM,Drama,Mystery,Thriller,,,,,,2
8½,3.9344262295081966,8½,Drama,Fantasy,,,,,,,2
9 Dead Gay Guys,2.5,9 Dead Gay Guys,Comedy,Crime,,,,,,,2
9 Songs,2.6,9 Songs,Drama,Romance,,,,,,,2
976-Evil II,1.8333333333333333,976-Evil II,Horror,,,,,,,,2
99 francs,3.423076923076923,99 francs,Comedy,,,,,,,,2
A Beautiful Mind,3.892576419213974,A Beautiful Mind,Comedy,Drama,,,,,,,2
A Beautiful Mind,3.892576419213974,A Beautiful Mind,Drama,Mystery,Romance,,,,,,2
A Boy Called Hate,3.5,A Boy Called Hate,Drama,,,,,,,,2
A Boy and His Dog,3.472972972972973,A Boy and His Dog,Sci-Fi,,,,,,,,2
A Bridge Too Far,3.9,A Bridge Too Far,Action,Drama,War,,,,,,2
A Brief History of Time,4.0125,A Brief History of Time,Documentary,,,,,,,,2
A Bronx Tale,3.7635135135135136,A Bronx Tale,Drama,,,,,,,,2
A Brother's Kiss,3.0,A Brother's Kiss,Drama,,,,,,,,2
A Bucket of Blood,3.071428571428572,A Bucket of Blood,Comedy,Horror,,,,,,,2
A Bug's Life,3.4840848806366047,A Bug's Life,Adventure,Animation,Children,Comedy,,,,,2
A Century of Cinema,4.5,A Century of Cinema,Documentary,,,,,,,,2
A Charlie Brown Christmas,3.851063829787234,A Charlie Brown Christmas,Animation,Children,Comedy,,,,,,2
A Chorus Line,3.117021276595745,A Chorus Line,Comedy,Drama,Musical,,,,,,2
A Christmas Carol,3.771929824561404,A Christmas Carol,Drama,,,,,,,,2
A Christmas Story,3.892944038929441,A Christmas Story,Children,Comedy,,,,,,,2
A Civil Action,3.280172413793104,A Civil Action,Drama,,,,,,,,2
A Claymation Christmas Celebration,4.083333333333333,A Claymation Christmas Celebration,Animation,Children,Comedy,Musical,,,,,2
A Clockwork Orange,3.998430962343096,A Clockwork Orange,Crime,Drama,Sci-Fi,Thriller,,,,,2
A Cock and Bull Story,3.4050632911392404,A Cock and Bull Story,Comedy,Drama,,,,,,,2
"A Cool, Dry Place",3.375,"A Cool, Dry Place",Drama,,,,,,,,2
A Countess from Hong Kong,2.125,A Countess from Hong Kong,Comedy,,,,,,,,2
A Crude Awakening: The Oil Crash,3.0,A Crude Awakening: The Oil Crash,Horror,,,,,,,,2
A Damsel in Distress,3.5,A Damsel in Distress,Comedy,Musical,Romance,,,,,,2
A Day at the Races,4.098591549295775,A Day at the Races,Comedy,Musical,,,,,,,2
A Decade Under the Influence,3.661764705882353,A Decade Under the Influence,Documentary,,,,,,,,2
A Dirty Shame,2.911764705882353,A Dirty Shame,Comedy,,,,,,,,2
A Dog of Flanders,2.25,A Dog of Flanders,Drama,,,,,,,,2
A Dog's Life,4.071428571428571,A Dog's Life,Comedy,,,,,,,,2
A Dry White Season,3.0,A Dry White Season,Drama,Thriller,,,,,,,2
A Face in the Crowd,4.137931034482759,A Face in the Crowd,Drama,,,,,,,,2
A Family Thing,3.5294117647058822,A Family Thing,Comedy,Drama,,,,,,,2
A Far Off Place,3.1818181818181817,A Far Off Place,Adventure,Children,Drama,Romance,,,,,2
A Farewell to Arms,3.071428571428572,A Farewell to Arms,Romance,War,,,,,,,2
A Fei zheng chuan,3.9107142857142856,A Fei zheng chuan,Drama,Romance,,,,,,,2
A Few Good Men,3.7491666666666665,A Few Good Men,Crime,Drama,Thriller,,,,,,2
A Fish Called Wanda,3.7405523255813953,A Fish Called Wanda,Comedy,Crime,,,,,,,2
A Foreign Affair,3.375,A Foreign Affair,Comedy,Drama,,,,,,,2
A Foreign Affair,3.375,A Foreign Affair,Comedy,Romance,,,,,,,2
A Funny Thing Happened on the Way to the Forum,3.622448979591837,A Funny Thing Happened on the Way to the Forum,Comedy,Musical,,,,,,,2
A Further Gesture,3.5,A Further Gesture,Drama,,,,,,,,2
A Good Man in Africa,2.583333333333333,A Good Man in Africa,Action,Adventure,,,,,,,2
A Good Woman,3.325,A Good Woman,Comedy,Drama,Romance,,,,,,2
A Good Year,3.280701754385965,A Good Year,Comedy,Drama,Romance,,,,,,2
A Goofy Movie,2.768421052631579,A Goofy Movie,Animation,Children,Comedy,Romance,,,,,2
A Grand Day Out with Wallace and Gromit,4.009485094850948,A Grand Day Out with Wallace and Gromit,Adventure,Animation,Children,Comedy,Sci-Fi,,,,2
A Great Day in Harlem,3.2777777777777777,A Great Day in Harlem,Documentary,,,,,,,,2
A Guide to Recognizing Your Saints,3.425925925925926,A Guide to Recognizing Your Saints,Crime,Drama,,,,,,,2
A Guy Thing,2.691489361702128,A Guy Thing,Comedy,Romance,,,,,,,2
A Handful of Dust,3.1666666666666665,A Handful of Dust,Drama,,,,,,,,2
A Hard Day's Night,3.8716216216216215,A Hard Day's Night,Comedy,Musical,,,,,,,2
A Hard Rain's Gonna Fall,2.891566265060241,A Hard Rain's Gonna Fall,Action,Crime,Thriller,,,,,,2
A History of Violence,3.5902777777777777,A History of Violence,Action,Crime,Drama,Thriller,,,,,2
A Hole in the Head,3.875,A Hole in the Head,Comedy,Musical,,,,,,,2
A Home at the End of the World,3.4444444444444446,A Home at the End of the World,Drama,Romance,,,,,,,2
A Home of Our Own,3.0625,A Home of Our Own,Drama,,,,,,,,2
A Kid in King Arthur's Court,2.157142857142857,A Kid in King Arthur's Court,Adventure,Children,Comedy,Fantasy,Romance,,,,2
A Killer Among Friends,3.25,A Killer Among Friends,Crime,Drama,,,,,,,2
A Kiss Before Dying,3.477272727272727,A Kiss Before Dying,Film-Noir,Mystery,,,,,,,2
A Kiss Before Dying,3.477272727272727,A Kiss Before Dying,Thriller,,,,,,,,2
A Knight's Tale,3.124242424242424,A Knight's Tale,Action,Adventure,Comedy,,,,,,2
A League of Ordinary Gentlemen,2.9545454545454546,A League of Ordinary Gentlemen,Documentary,,,,,,,,2
A League of Their Own,3.4612756264236904,A League of Their Own,Comedy,Drama,,,,,,,2
A Letter to Three Wives,3.6875,A Letter to Three Wives,Comedy,Drama,,,,,,,2
A Life Less Ordinary,3.1875,A Life Less Ordinary,Romance,Thriller,,,,,,,2
A Little Bit of Soul,4.5,A Little Bit of Soul,Comedy,,,,,,,,2
A Little Princess,3.6529126213592233,A Little Princess,Children,Drama,,,,,,,2
A Little Princess,3.6529126213592233,A Little Princess,Children,Drama,,,,,,,2
A Little Romance,3.911764705882353,A Little Romance,Comedy,Romance,,,,,,,2
A Lot Like Love,3.353846153846154,A Lot Like Love,Comedy,Drama,Romance,,,,,,2
A Love Song for Bobby Long,3.629032258064516,A Love Song for Bobby Long,Drama,,,,,,,,2
A Low Down Dirty Shame,2.631578947368421,A Low Down Dirty Shame,Action,Comedy,,,,,,,2
A Man Apart,2.7452830188679247,A Man Apart,Action,Crime,Drama,Thriller,,,,,2
A Man Called Horse,3.475,A Man Called Horse,Adventure,Drama,Western,,,,,,2
A Man Named Pearl,4.5,A Man Named Pearl,Documentary,,,,,,,,2
A Man for All Seasons,4.253424657534247,A Man for All Seasons,Drama,,,,,,,,2
A Man of No Importance,3.8,A Man of No Importance,Drama,,,,,,,,2
A Map of the World,3.4615384615384617,A Map of the World,Drama,,,,,,,,2
A Matter of Life and Death,4.166666666666667,A Matter of Life and Death,Comedy,Fantasy,Romance,,,,,,2
A Midnight Clear,3.8875,A Midnight Clear,Drama,War,,,,,,,2
A Midsummer Night's Dream,3.244140625,A Midsummer Night's Dream,Comedy,Fantasy,,,,,,,2
A Midsummer Night's Dream,3.244140625,A Midsummer Night's Dream,Comedy,Fantasy,Romance,,,,,,2
A Midsummer Night's Sex Comedy,3.2,A Midsummer Night's Sex Comedy,Comedy,Romance,,,,,,,2
A Mighty Heart,3.2,A Mighty Heart,Drama,Thriller,,,,,,,2
A Mighty Wind,3.723809523809524,A Mighty Wind,Comedy,Drama,Musical,,,,,,2
A Million to Juan,2.5,A Million to Juan,Comedy,,,,,,,,2
A Modern Affair,2.833333333333333,A Modern Affair,Romance,,,,,,,,2
A Month by the Lake,3.055555555555556,A Month by the Lake,Comedy,Drama,,,,,,,2
A Month in the Country,3.6666666666666665,A Month in the Country,Drama,,,,,,,,2
A Night at the Opera,3.995762711864407,A Night at the Opera,Comedy,Musical,Romance,,,,,,2
A Night at the Roxbury,2.5530973451327434,A Night at the Roxbury,Comedy,,,,,,,,2
A Night in Casablanca,3.6346153846153846,A Night in Casablanca,Comedy,,,,,,,,2
A Night in the Life of Jimmy Reardon,2.5416666666666665,A Night in the Life of Jimmy Reardon,Comedy,Romance,,,,,,,2
A Night to Remember,4.078125,A Night to Remember,Action,Drama,,,,,,,2
A Nightmare on Elm Street,3.2517123287671232,A Nightmare on Elm Street,Horror,Thriller,,,,,,,2
A Nightmare on Elm Street 3: Dream Warriors,2.8411764705882354,A Nightmare on Elm Street 3: Dream Warriors,Comedy,Fantasy,Horror,Thriller,,,,,2
A Nightmare on Elm Street 4: The Dream Master,2.5686274509803924,A Nightmare on Elm Street 4: The Dream Master,Fantasy,Horror,Thriller,,,,,,2
A Nightmare on Elm Street Part 2: Freddy's Revenge,2.487012987012987,A Nightmare on Elm Street Part 2: Freddy's Revenge,Horror,Thriller,,,,,,,2
A Nightmare on Elm Street: The Dream Child,2.2767857142857144,A Nightmare on Elm Street: The Dream Child,Horror,,,,,,,,2
A Nightmare on Elm Street: The Dream Child,2.2767857142857144,A Nightmare on Elm Street: The Dream Child,Drama,Fantasy,Romance,,,,,,2
A Passage to India,3.784313725490196,A Passage to India,Adventure,Drama,,,,,,,2
A Patch of Blue,3.96875,A Patch of Blue,Drama,Romance,,,,,,,2
A Perfect Candidate,4.0,A Perfect Candidate,Documentary,,,,,,,,2
A Perfect Getaway,2.880813953488372,A Perfect Getaway,Action,Adventure,Crime,Drama,Romance,Thriller,,,2
A Perfect Getaway,2.880813953488372,A Perfect Getaway,Drama,Romance,,,,,,,2
A Perfect Getaway,2.880813953488372,A Perfect Getaway,Action,Crime,Drama,Thriller,,,,,2
A Perfect Murder,3.1684491978609626,A Perfect Murder,Thriller,,,,,,,,2
A Perfect Murder,3.1684491978609626,A Perfect Murder,Mystery,Thriller,,,,,,,2
A Perfect World,3.5492424242424243,A Perfect World,Crime,Drama,Thriller,,,,,,2
A Personal Journey with Martin Scorsese Through American Movies,3.4444444444444446,A Personal Journey with Martin Scorsese Through American Movies,Drama,Horror,,,,,,,2
A Piece of the Action,3.0,A Piece of the Action,Crime,Drama,,,,,,,2
A Place in the Sun,4.033333333333333,A Place in the Sun,Drama,Romance,,,,,,,2
A Prairie Home Companion,3.465,A Prairie Home Companion,Comedy,Drama,Musical,,,,,,2
A Prayer for the Dying,3.4166666666666665,A Prayer for the Dying,Action,Drama,,,,,,,2
A Price Above Rubies,3.9166666666666665,A Price Above Rubies,Drama,,,,,,,,2
A Private Function,3.3,A Private Function,Comedy,,,,,,,,2
A Pyromaniac's Love Story,2.9166666666666665,A Pyromaniac's Love Story,Comedy,Romance,,,,,,,2
A Rage in Harlem,2.1666666666666665,A Rage in Harlem,Crime,,,,,,,,2
A Raisin in the Sun,3.816666666666667,A Raisin in the Sun,Drama,,,,,,,,2
A River Runs Through It,3.792372881355932,A River Runs Through It,Drama,,,,,,,,2
A Room with a View,3.8181818181818175,A Room with a View,Comedy,Drama,Romance,,,,,,2
A Rumor of Angels,3.875,A Rumor of Angels,Drama,,,,,,,,2
A Scanner Darkly,3.685053380782918,A Scanner Darkly,Animation,Drama,Mystery,Sci-Fi,Thriller,,,,2
A Shot at Glory,3.0,A Shot at Glory,Drama,,,,,,,,2
A Shot in the Dark,3.897196261682243,A Shot in the Dark,Comedy,Crime,Mystery,,,,,,2
A Show of Force,3.5,A Show of Force,Drama,Thriller,,,,,,,2
A Simple Plan,3.6468253968253967,A Simple Plan,Crime,Drama,Thriller,,,,,,2
A Simple Twist of Fate,3.217391304347826,A Simple Twist of Fate,Drama,,,,,,,,2
A Simple Wish,2.357142857142857,A Simple Wish,Children,Fantasy,,,,,,,2
A Slipping-Down Life,3.5,A Slipping-Down Life,Drama,Romance,,,,,,,2
A Small Circle of Friends,2.5,A Small Circle of Friends,Drama,,,,,,,,2
A Smile Like Yours,2.1666666666666665,A Smile Like Yours,Comedy,Romance,,,,,,,2
A Soldier's Daughter Never Cries,3.4166666666666665,A Soldier's Daughter Never Cries,Drama,,,,,,,,2
A Soldier's Story,3.6222222222222222,A Soldier's Story,Drama,,,,,,,,2
A Sound of Thunder,1.9838709677419355,A Sound of Thunder,Action,Adventure,Drama,Sci-Fi,Thriller,,,,2
A Star Is Born,3.933333333333333,A Star Is Born,Drama,,,,,,,,2
A Star Is Born,3.933333333333333,A Star Is Born,Drama,Musical,,,,,,,2
A Stranger Among Us,2.375,A Stranger Among Us,Crime,Drama,Romance,,,,,,2
A Streetcar Named Desire,3.890173410404624,A Streetcar Named Desire,Drama,,,,,,,,2
A Summer Place,3.3125,A Summer Place,Drama,,,,,,,,2
A Tale of Two Cities,3.842592592592593,A Tale of Two Cities,Drama,,,,,,,,2
A Tale of Two Cities,3.842592592592593,A Tale of Two Cities,Drama,Romance,,,,,,,2
A Taste of Honey,3.9166666666666665,A Taste of Honey,Drama,,,,,,,,2
A Thin Line Between Love and Hate,1.75,A Thin Line Between Love and Hate,Comedy,,,,,,,,2
A Thousand Acres,2.9705882352941178,A Thousand Acres,Drama,,,,,,,,2
A Thousand Clowns,4.1,A Thousand Clowns,Comedy,Drama,Romance,,,,,,2
A Time to Kill,3.52037037037037,A Time to Kill,Drama,Thriller,,,,,,,2
A Touch of Class,3.6666666666666665,A Touch of Class,Comedy,,,,,,,,2
A Troll in Central Park,2.5384615384615383,A Troll in Central Park,Animation,Children,,,,,,,2
A Very Brady Sequel,2.340659340659341,A Very Brady Sequel,Comedy,,,,,,,,2
A Very Natural Thing,3.0,A Very Natural Thing,Drama,,,,,,,,2
A View to a Kill,3.096969696969697,A View to a Kill,Action,Adventure,Thriller,,,,,,2
A Walk in the Clouds,3.196261682242991,A Walk in the Clouds,Drama,Romance,,,,,,,2
A Walk in the Sun,3.0,A Walk in the Sun,War,,,,,,,,2
A Walk on the Moon,3.2884615384615383,A Walk on the Moon,Drama,Romance,,,,,,,2
A Walk to Remember,3.1842105263157894,A Walk to Remember,Drama,Romance,,,,,,,2
A Woman Under the Influence,3.886363636363636,A Woman Under the Influence,Drama,,,,,,,,2
A Woman of Paris: A Drama of Fate,4.125,A Woman of Paris: A Drama of Fate,Drama,,,,,,,,2
A Zed & Two Noughts,3.3653846153846154,A Zed & Two Noughts,Drama,,,,,,,,2
AKA,3.4166666666666665,AKA,Drama,,,,,,,,2
ATL,3.0,ATL,Drama,,,,,,,,2
AVP: Alien vs. Predator,2.718120805369128,AVP: Alien vs. Predator,Action,Horror,Sci-Fi,Thriller,,,,,2
AVPR: Aliens vs Predator - Requiem,2.3059701492537314,AVPR: Aliens vs Predator - Requiem,Action,Horror,Sci-Fi,,,,,,2
Abandon,2.4838709677419355,Abandon,Drama,Thriller,,,,,,,2
Abandon,2.4838709677419355,Abandon,Horror,,,,,,,,2
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,3.5,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,Comedy,Horror,Mystery,Sci-Fi,,,,,2
Abbott and Costello Meet the Invisible Man,3.375,Abbott and Costello Meet the Invisible Man,Comedy,Sci-Fi,,,,,,,2
"Abbott and Costello Meet the Killer, Boris Karloff",3.375,"Abbott and Costello Meet the Killer, Boris Karloff",Comedy,Mystery,Thriller,,,,,,2
Abbott and Costello Meet the Mummy,3.0,Abbott and Costello Meet the Mummy,Comedy,,,,,,,,2
Aberdeen,3.857142857142857,Aberdeen,Drama,,,,,,,,2
About Adam,3.328125,About Adam,Comedy,,,,,,,,2
About Schmidt,3.4878345498783454,About Schmidt,Comedy,Drama,,,,,,,2
About a Boy,3.645756457564576,About a Boy,Comedy,Drama,,,,,,,2
Above the Law,2.7976190476190474,Above the Law,Action,Crime,Drama,,,,,,2
Above the Rim,3.0,Above the Rim,Drama,,,,,,,,2
Abre los ojos,3.9,Abre los ojos,Drama,Romance,Sci-Fi,Thriller,,,,,2
Abril Despedaçado,3.576923076923077,Abril Despedaçado,Drama,,,,,,,,2
Abschied - Brechts letzter Sommer,3.0,Abschied - Brechts letzter Sommer,Drama,,,,,,,,2
Absence of Malice,3.4404761904761907,Absence of Malice,Drama,Romance,,,,,,,2
Absolute Beginners,2.6666666666666665,Absolute Beginners,Musical,,,,,,,,2
Absolute Power,3.1638655462184877,Absolute Power,Mystery,Thriller,,,,,,,2
Accattone,3.555555555555556,Accattone,Drama,,,,,,,,2
Accepted,3.3157894736842106,Accepted,Comedy,,,,,,,,2
Acción mutante,2.75,Acción mutante,Action,Comedy,Sci-Fi,,,,,,2
Ace Ventura: Pet Detective,2.913727359389896,Ace Ventura: Pet Detective,Comedy,,,,,,,,2
Ace Ventura: When Nature Calls,2.556016597510373,Ace Ventura: When Nature Calls,Comedy,,,,,,,,2
Ace in the Hole,4.045454545454546,Ace in the Hole,Drama,,,,,,,,2
Ace of Hearts,2.0,Ace of Hearts,Children,Drama,,,,,,,2
Aces: Iron Eagle III,1.4464285714285714,Aces: Iron Eagle III,Action,,,,,,,,2
Across 110th Street,3.5,Across 110th Street,Crime,,,,,,,,2
Across the Pacific,2.25,Across the Pacific,Action,Adventure,Romance,War,,,,,2
Across the Sea of Time,3.375,Across the Sea of Time,Documentary,IMAX,,,,,,,2
Across the Universe,3.5825242718446604,Across the Universe,Drama,Musical,Romance,War,,,,,2
Act of Violence,3.5,Act of Violence,Drama,Film-Noir,Thriller,,,,,,2
Action Jackson,2.2419354838709675,Action Jackson,Action,Comedy,Crime,Thriller,,,,,2
Action in the North Atlantic,3.2142857142857144,Action in the North Atlantic,Action,War,,,,,,,2
Adam & Steve,5.0,Adam & Steve,Comedy,Romance,,,,,,,2
Adam's Rib,3.9025974025974026,Adam's Rib,Comedy,Romance,,,,,,,2
Adanggaman,4.5,Adanggaman,Drama,,,,,,,,2
Adaptation.,3.8001543209876543,Adaptation.,Comedy,Drama,Romance,,,,,,2
Addams Family Values,2.896103896103896,Addams Family Values,Comedy,,,,,,,,2
