title,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8
Boomerang,Comedy,Romance,,,,,,
Chung Hing sam lam,Drama,Mystery,Romance,,,,,
L'uomo delle stelle,Drama,,,,,,,
Flirting with Disaster,Comedy,,,,,,,
The Neverending Story III,Adventure,Children,Fantasy,,,,,
Jupiter's Wife,Documentary,,,,,,,
Pie in the Sky,Comedy,Romance,,,,,,
Angela's Ashes,Drama,,,,,,,
Frankie Starlight,Drama,Romance,,,,,,
The Curse of the Jade Scorpion,Thriller,,,,,,,
Sonic Outlaws,Documentary,,,,,,,
Down Periscope,Comedy,,,,,,,
From the Journals of Jean Seberg,Documentary,,,,,,,
Man of the Year,Documentary,,,,,,,
Hard Target,Action,Drama,,,,,,
Up Close & Personal,Drama,Romance,,,,,,
The Birdcage,Comedy,,,,,,,
Gospa,Drama,,,,,,,
The Brothers McMullen,Comedy,,,,,,,
Bad Boys,Action,,,,,,,
The Amazing Panda Adventure,Adventure,Children,,,,,,
The Basketball Diaries,Drama,,,,,,,
An Awfully Big Adventure,Drama,,,,,,,
The Moguls,Crime,Drama,Thriller,,,,,
Apollo 13,Adventure,Drama,,,,,,
Rob Roy,Action,Drama,Romance,War,,,,
Basic Instinct 2,Drama,Horror,,,,,,
Batman Forever,Action,Adventure,Comedy,Crime,,,,
Belle de jour,Drama,,,,,,,
Beyond Rangoon,Adventure,Drama,War,,,,,
Blue in the Face,Comedy,Drama,,,,,,
Canadian Bacon,Comedy,War,,,,,,
Casper,Adventure,Children,,,,,,
Clockers,Crime,Drama,Mystery,,,,,
Congo,Action,Adventure,Mystery,Sci-Fi,,,,
Crimson Tide,Drama,Thriller,War,,,,,
Crumb,Documentary,,,,,,,
Desperado,Action,Romance,Thriller,,,,,
Devil in a Blue Dress,Crime,Film-Noir,Mystery,Thriller,,,,
Die Hard: With a Vengeance,Action,Crime,Thriller,,,,,
The Doom Generation,Comedy,Crime,Drama,,,,,
Feast of July,Drama,,,,,,,
First Knight,Action,Drama,Romance,,,,,
Free Willy 2: The Adventure Home,Adventure,Children,Drama,,,,,
Hackers,Action,Adventure,Crime,Thriller,,,,
Jeffrey,Comedy,Drama,,,,,,
Johnny Mnemonic,Action,Sci-Fi,Thriller,,,,,
Judge Dredd,Action,Crime,Sci-Fi,,,,,
Jury Duty,Comedy,,,,,,,
Kids,Drama,,,,,,,
Living in Oblivion,Comedy,,,,,,,
Lord of Illusions,Horror,,,,,,,
Love & Human Remains,Comedy,Drama,,,,,,
Mad Love,Drama,Romance,,,,,,
Mallrats,Comedy,,,,,,,
Mighty Morphin Power Rangers: The Movie,Action,Children,,,,,,
Moonlight and Valentino,Drama,Romance,,,,,,
Mute Witness,Comedy,Horror,Thriller,,,,,
Nadja,Drama,,,,,,,
The Net,Action,Crime,Thriller,,,,,
Nine Months,Comedy,Romance,,,,,,
Party Girl,Comedy,,,,,,,
The Prophecy,Fantasy,Horror,Mystery,,,,,
The Reckless Moment,Comedy,Fantasy,,,,,,
Fail-Safe,Thriller,,,,,,,
The Scarlet Letter,Drama,Romance,,,,,,
Showgirls,Drama,,,,,,,
Smoke,Comedy,Drama,,,,,,
Something to Talk About,Comedy,Drama,Romance,,,,,
Species,Horror,Sci-Fi,,,,,,
The Stars Fell on Henrietta,Drama,,,,,,,
Strange Days,Action,Crime,Drama,Mystery,Sci-Fi,Thriller,,
Les parapluies de Cherbourg,Drama,Musical,,,,,,
The Tie That Binds,Thriller,,,,,,,
Three Wishes,Drama,,,,,,,
Total Eclipse,Drama,Romance,,,,,,
"To Wong Foo Thanks for Everything, Julie Newmar",Comedy,,,,,,,
Under Siege 2: Dark Territory,Action,,,,,,,
Unstrung Heroes,Comedy,Drama,,,,,,
Unzipped,Documentary,,,,,,,
A Walk in the Clouds,Drama,Romance,,,,,,
Waterworld,Action,Adventure,Sci-Fi,,,,,
White Man's Burden,Drama,,,,,,,
Wild Bill,Western,,,,,,,
The Browning Version,Drama,,,,,,,
Bushwhacked,Adventure,Comedy,Crime,Mystery,,,,
Utomlyonnye solntsem,Drama,,,,,,,
Before the Rain,Drama,War,,,,,,
Before Sunrise,Drama,Romance,,,,,,
Billy Madison,Comedy,,,,,,,
The Babysitters,Drama,Thriller,,,,,,
Boys on the Side,Comedy,Drama,,,,,,
The Cure,Drama,,,,,,,
Castle Freak,Horror,,,,,,,
Circle of Friends,Drama,Romance,,,,,,
Clerks.,Comedy,,,,,,,
Don Juan DeMarco,Comedy,Drama,Romance,,,,,
Disclosure,Drama,Thriller,,,,,,
Tucker: The Man and His Dream,Thriller,,,,,,,
Drop Zone,Action,Thriller,,,,,,
Destiny Turns on the Radio,Comedy,,,,,,,
Death and the Maiden,Drama,Thriller,,,,,,
Dolores Claiborne,Drama,Thriller,,,,,,
Dumb & Dumber,Comedy,,,,,,,
Yin shi nan nu,Comedy,Drama,Romance,,,,,
Exotica,Drama,,,,,,,
Exit to Eden,Comedy,,,,,,,
Ed Wood,Comedy,Drama,,,,,,
French Kiss,Action,Comedy,Romance,,,,,
Forget Paris,Comedy,Romance,,,,,,
Far from Home: The Adventures of Yellow Dog,Adventure,Children,,,,,,
A Goofy Movie,Animation,Children,Comedy,Romance,,,,
Hideaway,Thriller,,,,,,,
Fluke,Children,Drama,,,,,,
Farinelli,Drama,Musical,,,,,,
Flash Gordon,Comedy,,,,,,,
Gumby: The Movie,Animation,Children,,,,,,
The Glass Shield,Crime,Drama,,,,,,
Hoop Dreams,Documentary,,,,,,,
Heavenly Creatures,Crime,Drama,Fantasy,Romance,Thriller,,,
Houseguest,Comedy,,,,,,,
Immortal Beloved,Drama,Romance,,,,,,
Heavy Weights,Children,Comedy,,,,,,
The Hunted,Action,,,,,,,
I.Q.,Comedy,Romance,,,,,,
Interview with the Vampire: The Vampire Chronicles,Drama,Horror,,,,,,
Jefferson in Paris,Drama,,,,,,,
The Jerky Boys,Comedy,,,,,,,
Junior,Comedy,Sci-Fi,,,,,,
Just Cause,Mystery,Thriller,,,,,,
A Kid in King Arthur's Court,Adventure,Children,Comedy,Fantasy,Romance,,,
Kiss of Death,Crime,Drama,Thriller,,,,,
Star Wars,Action,Adventure,Sci-Fi,,,,,
Little Women,Drama,,,,,,,
A Little Princess,Children,Drama,,,,,,
Ladybird Ladybird,Drama,,,,,,,
L'enfer,Drama,,,,,,,
Como agua para chocolate,Drama,Romance,,,,,,
Legends of the Fall,Drama,Romance,War,Western,,,,
Major Payne,Comedy,,,,,,,
Little Odessa,Drama,,,,,,,
Mi vida loca,Drama,,,,,,,
Love Affair,Drama,Romance,,,,,,
Losing Isaiah,Drama,,,,,,,
The Madness of King George,Comedy,Drama,,,,,,
Frankenstein,Drama,Horror,,,,,,
Man of the House,Comedy,,,,,,,
Mixed Nuts,Comedy,,,,,,,
Milk Money,Comedy,Romance,,,,,,
Miracle on 34th Street,Drama,,,,,,,
Miami Rhapsody,Comedy,,,,,,,
My Family,Drama,,,,,,,
Murder in the First,Drama,Thriller,,,,,,
Nobody's Fool,Comedy,Drama,Romance,,,,,
Nell,Drama,,,,,,,
New Jersey Drive,Crime,Drama,,,,,,
Nyû Yôku no koppu,Action,Crime,,,,,,
Beyond Bedlam,Drama,Horror,,,,,,
Nemesis 2: Nebula,Action,Sci-Fi,Thriller,,,,,
Nina Takes a Lover,Comedy,Romance,,,,,,
Natural Born Killers,Action,Crime,Thriller,,,,,
Only You,Comedy,Romance,,,,,,
Once Were Warriors,Crime,Drama,,,,,,
Poison Ivy II,Drama,Thriller,,,,,,
Outbreak,Action,Drama,Sci-Fi,Thriller,,,,
Léon,Crime,Drama,Romance,Thriller,,,,
The Perez Family,Comedy,Romance,,,,,,
A Pyromaniac's Love Story,Comedy,Romance,,,,,,
Pulp Fiction,Comedy,Crime,Drama,,,,,
The Pink Panther 2,Drama,,,,,,,
Tui shou,Comedy,Drama,,,,,,
Priest,Drama,,,,,,,
Quiz Show,Drama,,,,,,,
Picture Bride,Drama,Romance,,,,,,
La reine Margot,Drama,Romance,,,,,,
The Quick and the Dead,Action,Adventure,Western,,,,,
Roommates,Comedy,Drama,,,,,,
Prêt-à-Porter,Comedy,,,,,,,
Trois couleurs: Rouge,Drama,,,,,,,
Trois couleurs: Bleu,Drama,,,,,,,
Trzy kolory: Bialy,Comedy,Drama,,,,,,
Pao Da Shuang Deng,Drama,,,,,,,
Rent-a-Kid,Comedy,,,,,,,
Stuart Saves His Family,Comedy,,,,,,,
The Swan Princess,Animation,Children,,,,,,
The Secret of Roan Inish,Children,Drama,Fantasy,Mystery,,,,
The Specialist,Action,Drama,Thriller,,,,,
Stargate,Action,Adventure,Sci-Fi,,,,,
Santa Claus,Comedy,Drama,Fantasy,,,,,
The Shawshank Redemption,Drama,,,,,,,
Shallow Grave,Comedy,Drama,Thriller,,,,,
Suture,Film-Noir,Thriller,,,,,,
Fresa y chocolate,Drama,,,,,,,
Swimming with Sharks,Comedy,Drama,,,,,,
The Sum of Us,Comedy,Drama,,,,,,
Senior Trip,Comedy,,,,,,,
Huozhe,Drama,,,,,,,
Tank Girl,Action,Comedy,Musical,Sci-Fi,,,,
Tales from the Crypt: Demon Knight,Horror,Thriller,,,,,,
Star Trek: Generations,Action,Adventure,Drama,Sci-Fi,,,,
Tales from the Hood,Action,Crime,Horror,,,,,
Tom & Viv,Drama,,,,,,,
Village of the Damned,Horror,Sci-Fi,,,,,,
Tommy Boy,Comedy,,,,,,,
Vanya on 42nd Street,Drama,,,,,,,
Underneath,Mystery,Thriller,,,,,,
Incubo sulla città contaminata,Drama,War,,,,,,
What's Eating Gilbert Grape,Drama,,,,,,,
Virtuosity,Action,Sci-Fi,Thriller,,,,,
While You Were Sleeping,Comedy,Romance,,,,,,
War,Adventure,Drama,War,,,,,
Double Happiness,Drama,,,,,,,
Muriel's Wedding,Comedy,,,,,,,
The Baby-Sitters Club,Children,,,,,,,
Ace Ventura: Pet Detective,Comedy,,,,,,,
"The Adventures of Priscilla, Queen of the Desert",Comedy,Drama,,,,,,
Backbeat,Drama,Musical,,,,,,
Bitter Moon,Drama,Film-Noir,,,,,,
Bullets Over Broadway,Comedy,,,,,,,
Clear and Present Danger,Action,Adventure,Thriller,,,,,
The Client,Drama,Mystery,Thriller,,,,,
"Corrina, Corrina",Comedy,Drama,Romance,,,,,
Crooklyn,Comedy,,,,,,,
The Crow,Action,Crime,Fantasy,Thriller,,,,
Cobb,Drama,,,,,,,
The Flintstones,Children,Comedy,Fantasy,,,,,
Forrest Gump,Comedy,Drama,Romance,War,,,,
Four Weddings and a Funeral,Comedy,Romance,,,,,,
Higher Learning,Drama,,,,,,,
I Like It Like That,Comedy,Drama,Romance,,,,,
I Love Trouble,Action,Comedy,,,,,,
It Could Happen to You,Comedy,Drama,Romance,,,,,
The Jungle Book,Adventure,Children,Romance,,,,,
Die Macht der Bilder: Leni Riefenstahl,Documentary,,,,,,,
The Lion King,Adventure,Animation,Children,Drama,Musical,,,
Little Buddha,Drama,,,,,,,
New Nightmare,Fantasy,Horror,,,,,,
The Mask,Action,Comedy,Crime,Fantasy,,,,
Maverick,Adventure,Comedy,Western,,,,,
Mrs. Parker and the Vicious Circle,Drama,,,,,,,
Naked Gun 33 1/3: The Final Insult,Action,Comedy,,,,,,
The Paper,Comedy,Drama,,,,,,
Reality Bites,Comedy,Drama,Romance,,,,,
Red Rock West,Thriller,,,,,,,
Ri¢hie Ri¢h,Children,Comedy,,,,,,
Safe Passage,Drama,,,,,,,
The River Wild,Action,Thriller,,,,,,
Speed,Action,Romance,Thriller,,,,,
Speechless,Comedy,Romance,,,,,,
Timecop,Action,Sci-Fi,Thriller,,,,,
True Lies,Action,Adventure,Comedy,Romance,Thriller,,,
When a Man Loves a Woman,Drama,,,,,,,
Wolf,Drama,Horror,Romance,Thriller,,,,
Wyatt Earp,Western,,,,,,,
Bad Company,Action,Crime,Drama,,,,,
A Man of No Importance,Drama,,,,,,,
S.F.W.,Drama,,,,,,,
A Low Down Dirty Shame,Action,Comedy,,,,,,
This Boy's Life,Drama,,,,,,,
Le colonel Chabert,Drama,Romance,War,,,,,
"Faster, Pussycat! Kill! Kill!",Action,Comedy,Crime,Drama,,,,
Jason's Lyric,Crime,Drama,,,,,,
The Secret Adventures of Tom Thumb,Adventure,Animation,,,,,,
Street Fighter,Action,Adventure,Fantasy,,,,,
In Cold Blood,Comedy,,,,,,,
Desert Winds,Drama,Fantasy,Romance,,,,,
Fall Time,Drama,,,,,,,
Cape Fear,Horror,,,,,,,
Frank and Ollie,Documentary,,,,,,,
Mirage,Action,Thriller,,,,,,
Open Season,Comedy,,,,,,,
Brother Minister: The Assassination of Malcolm X,Documentary,,,,,,,
Highlander III: The Sorcerer,Action,Sci-Fi,,,,,,
Federal Hill,Drama,,,,,,,
In the Mouth of Madness,Horror,Thriller,,,,,,
8 Seconds,Drama,,,,,,,
Above the Rim,Drama,,,,,,,
Addams Family Values,Comedy,,,,,,,
The Age of Innocence,Drama,,,,,,,
Airheads,Comedy,,,,,,,
The Air Up There,Comedy,,,,,,,
Another Stakeout,Comedy,Thriller,,,,,,
Bad Girls,Western,,,,,,,
Vicky Cristina Barcelona,Comedy,Romance,,,,,,
Being Human,Drama,,,,,,,
The Beverly Hillbillies,Comedy,,,,,,,
Beverly Hills Cop III,Action,Comedy,Crime,Thriller,,,,
Black Beauty,Adventure,Children,,,,,,
Blown Away,Action,Thriller,,,,,,
Blue Chips,Drama,,,,,,,
Blue Sky,Drama,Romance,,,,,,
Invasion of the Body Snatchers,Horror,Sci-Fi,Thriller,,,,,
Boxing Helena,Drama,Mystery,Romance,Thriller,,,,
A Bronx Tale,Drama,,,,,,,
Cabin Boy,Comedy,,,,,,,
Calendar Girls,Drama,,,,,,,
Carlito's Way,Crime,Drama,,,,,,
City Slickers II: The Legend of Curly's Gold,Adventure,Comedy,Western,,,,,
Clean Slate,Comedy,,,,,,,
Cliffhanger,Action,Adventure,Thriller,,,,,
Coneheads,Comedy,Sci-Fi,,,,,,
Color of Night,Drama,Thriller,,,,,,
Cops and Robbersons,Comedy,,,,,,,
The Cowboy Way,Action,Comedy,Drama,,,,,
Dave,Comedy,Romance,,,,,,
Dazed and Confused,Comedy,,,,,,,
Demolition Man,Action,Adventure,Sci-Fi,,,,,
The Endless Summer 2,Documentary,,,,,,,
Even Cowgirls Get the Blues,Comedy,Romance,,,,,,
Fatal Instinct,Comedy,,,,,,,
Ba wang bie ji,Drama,Romance,,,,,,
The Favor,Comedy,Romance,,,,,,
Huo Yuan Jia,Drama,,,,,,,
Fear of a Black Hat,Comedy,,,,,,,
With Honors,Comedy,Drama,,,,,,
Flesh and Bone,Drama,Mystery,Romance,,,,,
Widows' Peak,Drama,,,,,,,
For Love or Money,Comedy,,,,,,,
The Firm,Drama,Thriller,,,,,,
Free Willy,Adventure,Children,Drama,,,,,
Fresh,Crime,Drama,Thriller,,,,,
The Fugitive,Thriller,,,,,,,
Geronimo: An American Legend,Drama,Western,,,,,,
A Perfect Getaway,Action,Adventure,Crime,Drama,Romance,Thriller,,
Getting Even with Dad,Comedy,,,,,,,
Go Fish,Drama,Romance,,,,,,
A Good Man in Africa,Action,Adventure,,,,,,
Guilty as Sin,Crime,Drama,Thriller,,,,,
Hard Target,Action,Adventure,Crime,Thriller,,,,
Heaven & Earth,Action,Drama,War,,,,,
Hot Shots! Part Deux,Action,Comedy,War,,,,,
Live Nude Girls,Comedy,,,,,,,
The Englishman Who Went Up a Hill But Came Down a Mountain,Comedy,Romance,,,,,,
The House of the Spirits,Drama,Romance,,,,,,
House Party 3,Comedy,,,,,,,
The Hudsucker Proxy,Comedy,Drama,Fantasy,Romance,,,,
I'll Do Anything,Comedy,Drama,,,,,,
In the Army Now,Comedy,War,,,,,,
In the Line of Fire,Action,Thriller,,,,,,
In the Name of the Father,Drama,,,,,,,
The Inkwell,Comedy,Drama,,,,,,
What's Love Got to Do with It,Drama,Musical,,,,,,
Jimmy Hollywood,Comedy,Crime,Drama,,,,,
Judgment Night,Action,Crime,Thriller,,,,,
Jurassic Park,Action,Adventure,Sci-Fi,Thriller,,,,
Kalifornia,Drama,Thriller,,,,,,
Killing Zoe,Action,Crime,,,,,,
King of the Hill,Drama,,,,,,,
Lassie,Adventure,Children,,,,,,
Last Action Hero,Action,Adventure,Comedy,Fantasy,,,,
Life with Mikey,Comedy,,,,,,,
Lightning Jack,Comedy,Western,,,,,,
M. Butterfly,Drama,,,,,,,
Made in America,Comedy,,,,,,,
Malice,Thriller,,,,,,,
The Man Without a Face,Drama,,,,,,,
Manhattan Murder Mystery,Comedy,Mystery,,,,,,
Menace II Society,Action,Crime,Drama,,,,,
Executive Decision,Action,Adventure,Thriller,,,,,
Ai no korîda,Drama,,,,,,,
What Happened Was...,Comedy,Drama,Romance,,,,,
Much Ado About Nothing,Comedy,Romance,,,,,,
Mr. Jones,Drama,Romance,,,,,,
Mr. Wonderful,Comedy,Romance,,,,,,
Mrs. Doubtfire,Comedy,Drama,,,,,,
Naked,Drama,,,,,,,
The Next Karate Kid,Action,Children,,,,,,
The New Age,Drama,,,,,,,
No Escape,Action,Sci-Fi,,,,,,
North,Comedy,,,,,,,
Orlando,Drama,,,,,,,
A Perfect World,Crime,Drama,Thriller,,,,,
Philadelphia,Drama,,,,,,,
The Piano,Drama,Romance,,,,,,
Poetic Justice,Drama,,,,,,,
The Program,Action,Drama,,,,,,
The Puppet Masters,Horror,Sci-Fi,,,,,,
Radioland Murders,Comedy,Mystery,Romance,,,,,
The Ref,Comedy,,,,,,,
The Remains of the Day,Drama,Romance,,,,,,
Renaissance Man,Comedy,Drama,,,,,,
Rising Sun,Action,Drama,Mystery,,,,,
The Road to Wellville,Comedy,,,,,,,
RoboCop 3,Crime,Sci-Fi,Thriller,,,,,
Robin Hood: Men in Tights,Comedy,,,,,,,
Romeo Is Bleeding,Crime,Thriller,,,,,,
Romper Stomper,Action,Drama,,,,,,
Ruby in Paradise,Drama,,,,,,,
Rudy,Drama,,,,,,,
The Saint of Fort Washington,Drama,,,,,,,
Les nuits fauves,Drama,,,,,,,
Schindler's List,Drama,War,,,,,,
The Last Boy Scout,Comedy,,,,,,,
Searching for Bobby Fischer,Drama,,,,,,,
Second Best,Drama,,,,,,,
The Secret Garden,Children,Drama,,,,,,
Serial Mom,Comedy,Crime,Horror,,,,,
Kagemusha,Action,Adventure,Fantasy,Mystery,,,,
Shadowlands,Drama,Romance,,,,,,
Short Cuts,Drama,,,,,,,
A Simple Twist of Fate,Drama,,,,,,,
Sairen,Drama,,,,,,,
Six Degrees of Separation,Drama,,,,,,,
Sleepless in Seattle,Comedy,Drama,Romance,,,,,
Sliver,Thriller,,,,,,,
Blade Runner,Adventure,Drama,Film-Noir,Sci-Fi,Thriller,,,
Son in Law,Comedy,,,,,,,
So I Married an Axe Murderer,Comedy,Romance,Thriller,,,,,
Striking Distance,Action,Crime,,,,,,
Harem suaré,Drama,,,,,,,
Super Mario Bros.,Action,Adventure,Children,Comedy,Fantasy,Sci-Fi,,
Surviving the Game,Action,Adventure,Thriller,,,,,
Terminal Velocity,Action,Mystery,Thriller,,,,,
Thirty Two Short Films About Glenn Gould,Drama,Musical,,,,,,
Threesome,Comedy,Romance,,,,,,
The Nightmare Before Christmas,Animation,Children,Fantasy,Musical,,,,
The Three Musketeers,Action,Adventure,Comedy,,,,,
Tombstone,Action,Drama,Western,,,,,
Law & Order: Trial by Jury,Crime,Drama,Thriller,,,,,
True Romance,Action,Crime,Romance,,,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Documentary,,,,,,,
The Pagemaster,Action,Adventure,Animation,Children,Fantasy,,,
2 Days in Paris,Comedy,,,,,,,
"The Beans of Egypt, Maine",Drama,,,,,,,
Killer Movie,Drama,Thriller,,,,,,
Welcome to the Dollhouse,Comedy,Drama,,,,,,
Germinal,Drama,,,,,,,
Chugyeogja,Comedy,,,,,,,
Cronos,Action,Drama,Horror,,,,,
Naked in New York,Comedy,Romance,,,,,,
Kika,Comedy,Drama,,,,,,
Bhaji on the Beach,Comedy,Drama,,,,,,
Little Big League,Comedy,Drama,,,,,,
Kådisbellan,Comedy,Drama,,,,,,
Wide-Eyed and Legless,Drama,Romance,,,,,,
Foreign Student,Drama,,,,,,,
Io speriamo che me la cavo,Drama,,,,,,,
Spanking the Monkey,Comedy,Drama,,,,,,
The Little Rascals,Children,Comedy,,,,,,
Andre,Adventure,Children,,,,,,
La scorta,Crime,Thriller,,,,,,
Princess Caraboo,Drama,,,,,,,
The Celluloid Closet,Documentary,,,,,,,
Métisse,Comedy,Drama,,,,,,
Caro diario,Comedy,Drama,,,,,,
The Brady Bunch Movie,Comedy,,,,,,,
Home Alone,Children,Comedy,,,,,,
Ghost,Comedy,Drama,Fantasy,Romance,Thriller,,,
Aladdin,Adventure,Animation,Children,Comedy,Musical,,,
Terminator 2: Judgment Day,Action,Sci-Fi,,,,,,
Dances with Wolves,Adventure,Drama,Western,,,,,
Tough and Deadly,Action,Drama,Thriller,,,,,
Batman,Action,Crime,Sci-Fi,Thriller,,,,
The Silence of the Lambs,Crime,Horror,Thriller,,,,,
Snow White and the Seven Dwarfs,Animation,Children,Drama,Fantasy,Musical,,,
Beauty and the Beast,Animation,Children,Fantasy,Musical,Romance,,,
Pinocchio,Animation,Children,Fantasy,Musical,,,,
Pretty Woman,Comedy,Romance,,,,,,
Okno v Parizh,Comedy,Fantasy,,,,,,
The Wild Bunch,Adventure,Western,,,,,,
Love and a .45,Thriller,,,,,,,
A Great Day in Harlem,Documentary,,,,,,,
Bye Bye Love,Comedy,,,,,,,
One Fine Day,Drama,Romance,,,,,,
Candyman: Farewell to the Flesh,Fantasy,Horror,,,,,,
Fargo,Comedy,Crime,Drama,Thriller,,,,
Homeward Bound II: Lost in San Francisco,Adventure,Children,,,,,,
Heavy Metal,Action,Adventure,Animation,Horror,Sci-Fi,,,
Hellraiser: Bloodline,Action,Horror,Sci-Fi,,,,,
The Pallbearer,Comedy,,,,,,,
Jane Eyre,Drama,Romance,,,,,,
Loaded,Drama,Thriller,,,,,,
